idx	Load [N]	Left Gap [μm]	Right Gap [μm]
204	-23.87758326893254	16037.16452184901	16102.416032981828
205	-24.043913399345115	16035.52040865209	16102.416032981828
206	-23.72973426693136	16034.20511809679	16100.771697356497
207	-23.674290891862597	16035.191586013081	16098.305193929484
208	-23.84062101818438	16037.822167128645	16096.249774417036
209	-23.74821539203697	16033.218650181614	16098.71627783307
210	-23.84062101818438	16034.20511809679	16113.926382523403
211	-23.711253141867132	16039.46628032991	16102.827116889077
212	-23.914545519846	16033.547472819882	16103.238200796695
213	-23.61884751716559	16033.547472819882	16105.293620340266
214	-23.72973426693136	16037.822167128645	16103.649284704677
215	-23.397074022094557	16034.862763374193	16100.360613451081
216	-23.600366392349315	16032.232182267553	16094.194354913736
217	-23.52644189349678	16037.493344488767	16095.016522713959
218	-23.785177642371877	16036.835699209376	16101.593865168432
219	-23.563404142840454	16033.547472819882	16101.593865168432
220	-23.896064394368523	16036.178053930487	16099.949529546027
221	-23.52644189349678	16037.16452184901	16102.416032981828
222	-23.8221398928722	16034.20511809679	16102.827116889077
223	-23.85910214353771	16031.90335962978	16102.004949074946
224	-23.72973426693136	16039.13745768941	16099.949529546027
225	-23.951507770924877	16034.20511809679	16100.360613451081
226	-24.062394525153195	16032.232182267553	16101.182781262281
227	-23.96998889652616	16038.808635049034	16104.060368613023
228	-24.1732812808699	16036.835699209376	16099.127361737023
229	-24.062394525153195	16032.889827543471	16099.127361737023
230	-24.154800154813643	16037.16452184901	16098.71627783307
231	-24.006951147852988	16037.822167128645	16099.127361737023
232	-23.87758326893254	16032.889827543471	16099.127361737023
233	-23.785177642371877	16034.862763374193	16098.305193929484
234	-23.8221398928722	16039.13745768941	16098.71627783307
235	-23.84062101818438	16034.20511809679	16100.771697356497
236	-23.87758326893254	16033.218650181614	16101.182781262281
237	-23.933026645364748	16037.822167128645	16099.949529546027
238	-23.914545519846	16035.52040865209	16099.538445641343
239	-23.61884751716559	16032.232182267553	16098.71627783307
240	-23.803658767601405	16038.150989768652	16099.127361737023
241	-23.87758326893254	16036.50687656987	16097.483026123406
242	-23.84062101818438	16034.53394073543	16102.827116889077
243	-24.13631902879888	16034.20511809679	16100.771697356497
244	-23.914545519846	16037.822167128645	16100.771697356497
245	-24.080875651002657	16034.53394073543	16101.182781262281
246	-23.84062101818438	16030.916891717205	16102.004949074946
247	-23.85910214353771	16039.46628032991	16101.182781262281
248	-23.84062101818438	16033.876295458274	16098.71627783307
249	-23.951507770924877	16032.56100490545	16101.182781262281
250	-23.711253141867132	16038.150989768652	16112.693130773043
251	-23.84062101818438	16036.178053930487	16101.182781262281
252	-23.803658767601405	16032.889827543471	16101.593865168432
253	-23.74821539203697	16036.178053930487	16103.238200796695
254	-23.785177642371877	16036.835699209376	16104.882536430818
255	-24.006951147852988	16033.547472819882	16104.882536430818
256	-24.13631902879888	16034.20511809679	16094.194354913736
257	-23.61884751716559	16038.808635049034	16096.249774417036
258	-23.61884751716559	16034.862763374193	16102.004949074946
259	-23.65580976692229	16033.218650181614	16098.71627783307
260	-23.65580976692229	16037.822167128645	16099.127361737023
261	-23.52644189349678	16036.835699209376	16100.771697356497
262	-23.72973426693136	16031.574536992131	16103.238200796695
263	-24.228724659286286	16037.16452184901	16104.060368613023
264	-23.507960768886846	16037.822167128645	16102.004949074946
265	-23.896064394368523	16033.876295458274	16100.771697356497
266	-23.766696517183618	16035.52040865209	16100.771697356497
267	-23.65580976692229	16038.150989768652	16098.71627783307
268	-23.52644189349678	16033.876295458274	16098.305193929484
269	-23.489479644318294	16032.232182267553	16099.538445641343
270	-23.8221398928722	16037.822167128645	16099.127361737023
271	-23.711253141867132	16033.876295458274	16102.004949074946
272	-23.563404142840454	16032.889827543471	16099.538445641343
273	-23.74821539203697	16037.493344488767	16100.360613451081
274	-23.766696517183618	16037.822167128645	16098.305193929484
275	-24.37657367021677	16031.574536992131	16098.305193929484
276	-23.96998889652616	16035.849231291228	16100.771697356497
277	-23.637328642023363	16037.493344488767	16098.71627783307
278	-23.803658767601405	16032.56100490545	16098.71627783307
279	-23.785177642371877	16030.916891717205	16100.771697356497
280	-23.96998889652616	16038.479812408781	16098.305193929484
281	-23.803658767601405	16033.547472819882	16100.360613451081
282	-23.803658767601405	16033.547472819882	16101.593865168432
283	-23.61884751716559	16038.479812408781	16100.360613451081
284	-23.85910214353771	16035.191586013081	16101.593865168432
285	-23.84062101818438	16033.218650181614	16102.004949074946
286	-23.766696517183618	16035.849231291228	16097.483026123406
287	-23.72973426693136	16037.822167128645	16102.416032981828
288	-23.61884751716559	16033.547472819882	16102.004949074946
289	-23.74821539203697	16034.20511809679	16101.182781262281
290	-24.1178379028255	16039.795102970536	16104.471452521739
291	-23.933026645364748	16033.218650181614	16105.293620340266
292	-23.96998889652616	16032.56100490545	16104.471452521739
293	-23.61884751716559	16039.13745768941	16103.649284704677
294	-23.933026645364748	16035.191586013081	16093.783271014172
295	-23.72973426693136	16033.547472819882	16100.360613451081
296	-23.96998889652616	16036.835699209376	16100.360613451081
297	-23.98847002216894	16036.835699209376	16100.771697356497
298	-24.1732812808699	16032.56100490545	16099.538445641343
299	-23.951507770924877	16034.53394073543	16100.771697356497
300	-24.154800154813643	16037.493344488767	16102.004949074946
301	-24.043913399345115	16033.547472819882	16104.060368613023
302	-23.766696517183618	16032.56100490545	16102.827116889077
303	-23.803658767601405	16038.479812408781	16100.360613451081
304	-24.1178379028255	16032.56100490545	16097.89411002626
305	-23.803658767601405	16033.218650181614	16098.305193929484
306	-23.692772016844287	16036.835699209376	16098.305193929484
307	-23.452517395304994	16036.835699209376	16099.127361737023
308	-24.062394525153195	16032.56100490545	16098.305193929484
309	-23.84062101818438	16036.50687656987	16101.182781262281
310	-24.1732812808699	16038.479812408781	16100.771697356497
311	-23.951507770924877	16033.547472819882	16098.305193929484
312	-24.062394525153195	16033.876295458274	16098.305193929484
313	-23.637328642023363	16039.13745768941	16097.483026123406
314	-23.914545519846	16033.547472819882	16102.416032981828
315	-23.65580976692229	16032.889827543471	16100.771697356497
316	-23.470998519791124	16039.795102970536	16100.771697356497
317	-23.85910214353771	16036.50687656987	16098.71627783307
318	-23.87758326893254	16033.876295458274	16097.071942220919
319	-23.692772016844287	16036.835699209376	16097.483026123406
320	-24.006951147852988	16035.849231291228	16100.360613451081
321	-23.711253141867132	16033.218650181614	16103.238200796695
322	-23.87758326893254	16034.53394073543	16102.416032981828
323	-24.006951147852988	16037.822167128645	16103.649284704677
324	-23.65580976692229	16034.862763374193	16101.593865168432
325	-23.896064394368523	16031.90335962978	16095.427606614618
326	-23.766696517183618	16039.46628032991	16096.660858318795
327	-23.951507770924877	16033.876295458274	16103.649284704677
328	-23.674290891862597	16031.90335962978	16102.416032981828
329	-23.84062101818438	16038.150989768652	16103.238200796695
330	-23.61884751716559	16036.835699209376	16106.526872070808
331	-23.37859289777373	16033.876295458274	16103.649284704677
332	-24.247205785507845	16036.50687656987	16095.427606614618
333	-23.65580976692229	16036.50687656987	16102.827116889077
334	-23.65580976692229	16033.876295458274	16100.771697356497
335	-23.896064394368523	16033.547472819882	16099.538445641343
336	-24.006951147852988	16038.150989768652	16101.593865168432
337	-23.674290891862597	16034.862763374193	16102.004949074946
338	-23.87758326893254	16032.232182267553	16101.182781262281
339	-23.692772016844287	16038.150989768652	16101.182781262281
340	-24.099356776893387	16036.835699209376	16102.004949074946
341	-24.21024353310611	16032.232182267553	16098.71627783307
342	-24.154800154813643	16036.835699209376	16101.182781262281
343	-24.191762406967314	16038.150989768652	16100.360613451081
344	-23.896064394368523	16033.547472819882	16100.360613451081
345	-24.1732812808699	16035.191586013081	16099.949529546027
346	-23.84062101818438	16038.150989768652	16097.071942220919
347	-23.74821539203697	16033.547472819882	16098.305193929484
348	-23.96998889652616	16033.218650181614	16099.949529546027
349	-24.154800154813643	16038.808635049034	16104.060368613023
350	-23.87758326893254	16034.20511809679	16098.305193929484
351	-23.803658767601405	16033.876295458274	16100.771697356497
352	-23.951507770924877	16037.822167128645	16099.949529546027
353	-24.006951147852988	16036.178053930487	16099.127361737023
354	-24.099356776893387	16033.876295458274	16099.538445641343
355	-23.951507770924877	16035.52040865209	16097.483026123406
356	-23.96998889652616	16038.150989768652	16096.249774417036
357	-23.96998889652616	16034.53394073543	16098.305193929484
358	-24.043913399345115	16031.574536992131	16101.593865168432
359	-23.951507770924877	16038.150989768652	16103.238200796695
360	-23.766696517183618	16035.849231291228	16102.827116889077
361	-23.87758326893254	16032.232182267553	16103.649284704677
362	-23.87758326893254	16038.808635049034	16101.182781262281
363	-23.96998889652616	16037.16452184901	16096.249774417036
364	-23.61884751716559	16032.232182267553	16095.838690515646
365	-23.87758326893254	16036.835699209376	16105.293620340266
366	-23.72973426693136	16037.16452184901	16100.360613451081
367	-23.933026645364748	16031.90335962978	16100.360613451081
368	-23.951507770924877	16034.53394073543	16106.115788160263
369	-23.711253141867132	16037.822167128645	16106.526872070808
370	-23.674290891862597	16033.547472819882	16102.004949074946
371	-23.434036270860247	16033.547472819882	16096.249774417036
372	-23.74821539203697	16037.822167128645	16102.416032981828
373	-24.1178379028255	16035.52040865209	16100.360613451081
374	-24.062394525153195	16033.218650181614	16098.71627783307
375	-24.025432273578417	16036.178053930487	16099.949529546027
376	-24.302649164420586	16036.835699209376	16104.060368613023
377	-23.61884751716559	16032.889827543471	16106.937955981724
378	-24.13631902879888	16034.53394073543	16103.649284704677
379	-23.711253141867132	16038.808635049034	16102.416032981828
380	-23.85910214353771	16033.876295458274	16100.360613451081
381	-23.692772016844287	16032.889827543471	16099.538445641343
382	-23.96998889652616	16038.808635049034	16097.071942220919
383	-23.785177642371877	16032.889827543471	16096.249774417036
384	-23.74821539203697	16033.218650181614	16098.71627783307
385	-23.933026645364748	16036.835699209376	16098.71627783307
386	-23.674290891862597	16036.178053930487	16101.182781262281
387	-23.507960768886846	16032.232182267553	16101.182781262281
388	-23.84062101818438	16036.835699209376	16101.182781262281
389	-24.154800154813643	16037.822167128645	16098.71627783307
390	-23.933026645364748	16033.218650181614	16098.71627783307
391	-24.006951147852988	16035.849231291228	16098.71627783307
392	-23.785177642371877	16039.46628032991	16100.360613451081
393	-23.74821539203697	16034.862763374193	16098.71627783307
394	-23.72973426693136	16031.574536992131	16097.483026123406
395	-24.154800154813643	16039.46628032991	16097.89411002626
396	-23.803658767601405	16036.178053930487	16096.249774417036
397	-23.803658767601405	16033.218650181614	16100.360613451081
398	-23.711253141867132	16035.849231291228	16103.238200796695
399	-23.84062101818438	16036.835699209376	16101.593865168432
400	-23.65580976692229	16033.547472819882	16102.416032981828
401	-23.84062101818438	16034.53394073543	16101.182781262281
402	-23.914545519846	16038.808635049034	16098.305193929484
403	-24.099356776893387	16033.547472819882	16097.483026123406
404	-23.87758326893254	16033.218650181614	16101.182781262281
405	-23.98847002216894	16038.150989768652	16096.249774417036
406	-24.062394525153195	16033.218650181614	16100.771697356497
407	-23.61884751716559	16031.245714354603	16102.416032981828
408	-24.006951147852988	16037.822167128645	16104.882536430818
409	-23.914545519846	16037.16452184901	16104.471452521739
410	-23.951507770924877	16033.218650181614	16098.305193929484
411	-23.785177642371877	16035.849231291228	16093.783271014172
412	-23.896064394368523	16037.493344488767	16101.593865168432
413	-24.062394525153195	16033.876295458274	16101.182781262281
414	-24.13631902879888	16032.56100490545	16099.538445641343
415	-24.062394525153195	16039.46628032991	16098.71627783307
416	-24.154800154813643	16033.218650181614	16102.004949074946
417	-23.85910214353771	16033.218650181614	16102.416032981828
418	-24.21024353310611	16037.493344488767	16100.771697356497
419	-23.896064394368523	16036.178053930487	16100.360613451081
420	-24.21024353310611	16031.574536992131	16100.360613451081
421	-23.84062101818438	16038.150989768652	16101.182781262281
422	-24.1178379028255	16036.178053930487	16098.305193929484
423	-23.692772016844287	16034.53394073543	16098.305193929484
424	-23.674290891862597	16033.218650181614	16098.305193929484
425	-24.154800154813643	16038.808635049034	16101.182781262281
426	-23.600366392349315	16034.20511809679	16101.182781262281
427	-24.154800154813643	16032.232182267553	16100.360613451081
428	-23.72973426693136	16038.808635049034	16099.127361737023
429	-23.785177642371877	16035.191586013081	16099.127361737023
430	-24.043913399345115	16031.90335962978	16101.593865168432
431	-24.043913399345115	16037.822167128645	16099.538445641343
432	-23.766696517183618	16036.178053930487	16099.538445641343
433	-24.21024353310611	16033.876295458274	16098.305193929484
434	-23.766696517183618	16035.191586013081	16095.427606614618
435	-24.1178379028255	16037.493344488767	16097.483026123406
436	-24.025432273578417	16034.20511809679	16105.293620340266
437	-24.043913399345115	16031.90335962978	16104.882536430818
438	-23.711253141867132	16040.781570893163	16103.649284704677
439	-23.85910214353771	16034.862763374193	16101.593865168432
440	-23.74821539203697	16032.56100490545	16097.89411002626
441	-24.32113029080756	16037.493344488767	16093.783271014172
442	-23.785177642371877	16034.53394073543	16099.949529546027
443	-24.080875651002657	16032.889827543471	16102.416032981828
444	-24.080875651002657	16036.178053930487	16101.182781262281
445	-24.1178379028255	16037.493344488767	16103.649284704677
446	-23.65580976692229	16032.889827543471	16106.526872070808
447	-23.711253141867132	16034.862763374193	16106.115788160263
448	-23.85910214353771	16038.150989768652	16100.771697356497
449	-23.711253141867132	16034.20511809679	16095.016522713959
450	-23.933026645364748	16032.56100490545	16092.138935419576
451	-23.581885267574194	16038.150989768652	16101.593865168432
452	-23.98847002216894	16036.50687656987	16099.949529546027
453	-24.006951147852988	16032.56100490545	16100.771697356497
454	-23.96998889652616	16036.50687656987	16099.538445641343
455	-23.84062101818438	16036.178053930487	16102.416032981828
456	-23.98847002216894	16033.547472819882	16104.471452521739
457	-24.21024353310611	16034.20511809679	16102.004949074946
458	-24.1178379028255	16038.808635049034	16102.004949074946
459	-23.98847002216894	16034.20511809679	16101.593865168432
460	-23.85910214353771	16033.218650181614	16100.360613451081
461	-23.637328642023363	16037.16452184901	16099.538445641343
462	-23.98847002216894	16032.889827543471	16099.538445641343
463	-24.1732812808699	16032.232182267553	16096.660858318795
464	-24.154800154813643	16038.479812408781	16099.538445641343
465	-24.006951147852988	16036.835699209376	16099.538445641343
466	-23.85910214353771	16033.876295458274	16100.360613451081
467	-23.85910214353771	16035.52040865209	16098.305193929484
468	-24.006951147852988	16036.835699209376	16097.89411002626
469	-24.062394525153195	16033.876295458274	16099.538445641343
470	-24.1178379028255	16032.889827543471	16100.360613451081
471	-24.080875651002657	16038.808635049034	16099.538445641343
472	-23.85910214353771	16032.56100490545	16100.360613451081
473	-24.302649164420586	16033.218650181614	16099.538445641343
474	-24.13631902879888	16038.479812408781	16097.483026123406
475	-23.8221398928722	16036.835699209376	16098.305193929484
476	-24.062394525153195	16032.56100490545	16101.182781262281
477	-23.951507770924877	16037.822167128645	16102.416032981828
478	-24.13631902879888	16036.50687656987	16101.182781262281
479	-23.74821539203697	16033.876295458274	16102.004949074946
480	-23.84062101818438	16033.547472819882	16095.016522713959
481	-23.98847002216894	16037.822167128645	16099.949529546027
482	-23.87758326893254	16034.53394073543	16109.40445945491
483	-24.043913399345115	16031.90335962978	16102.004949074946
484	-23.84062101818438	16040.123925611286	16101.593865168432
485	-23.785177642371877	16032.889827543471	16104.471452521739
486	-24.043913399345115	16033.876295458274	16104.882536430818
487	-24.062394525153195	16036.835699209376	16100.360613451081
488	-24.006951147852988	16036.50687656987	16096.249774417036
489	-24.080875651002657	16032.889827543471	16100.771697356497
490	-23.84062101818438	16034.862763374193	16101.593865168432
491	-23.711253141867132	16038.479812408781	16101.593865168432
492	-24.025432273578417	16032.889827543471	16099.949529546027
493	-23.951507770924877	16032.889827543471	16102.004949074946
494	-23.951507770924877	16040.123925611286	16103.238200796695
495	-23.65580976692229	16033.876295458274	16102.416032981828
496	-24.025432273578417	16033.547472819882	16103.649284704677
497	-24.32113029080756	16038.150989768652	16098.71627783307
498	-23.85910214353771	16036.835699209376	16099.538445641343
499	-23.914545519846	16032.56100490545	16098.305193929484
500	-23.711253141867132	16037.493344488767	16099.538445641343
501	-23.85910214353771	16036.50687656987	16099.127361737023
502	-23.951507770924877	16033.876295458274	16099.538445641343
503	-23.914545519846	16034.53394073543	16100.771697356497
504	-23.65580976692229	16038.479812408781	16102.004949074946
505	-23.785177642371877	16033.876295458274	16100.771697356497
506	-24.154800154813643	16033.547472819882	16099.949529546027
507	-23.896064394368523	16039.13745768941	16099.127361737023
508	-24.191762406967314	16036.178053930487	16099.949529546027
509	-23.933026645364748	16033.218650181614	16099.949529546027
510	-23.711253141867132	16036.835699209376	16098.305193929484
511	-24.284168038074995	16037.493344488767	16099.949529546027
512	-23.54492301814787	16031.574536992131	16096.660858318795
513	-24.191762406967314	16035.52040865209	16095.427606614618
514	-23.96998889652616	16037.16452184901	16098.71627783307
